CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
CO19,This is a work-related injury/illness,Other Insurance,Coverage/Workers Comp
CO190,Payment adjusted - documentation did not support service,Documentation/Attachments,Documentation/Attachments
CO191,Claim denied because this is not a work related injury/illness and thus not the liability of the workers' compensation carrier.,Other Insurance,COB/No Fault
CO192,Non-standard adjustment code from paper remittance,Contractual/Payment,Contractual/Payment/Other
CO193,Original payment decision is being maintained,Appeals/Timely Filing,Appeals/Timely Filing
CO194,"Payment adjusted when anesthesia is performed by the operating physician, the assistant surgeon or the attending physician",Bundled/Inclusive,Bundled/Inclusive
CO195,Payment denied/reduced due to a refund issued to an erroneous priority payer for this claim/service,Refund/Recovery,Refund/Recovery
CO196,Precertification/notification/authorization not within time limit,Authorization/Precert,Authorization/Precert
CO197,Precertification/authorization/notification absent,Authorization/Precert,Authorization/Precert
CO198,Precertification/authorization exceeded,Authorization/Precert,Authorization/Precert
CO199,Revenue code and Procedure code do not match.,Provider Billing Error,Provider Billing Error/Coding
CO2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
CO20,This injury/illness is covered by the liability carrier,Other Insurance,COB/No Fault
CO200,Expenses incurred during lapse in coverage,Coverage/Eligibility,Coverage/Eligibility
CO201,Workers Compensation case settled. Patient is responsible for amount of this claim/service through WC 'Medicare set aside arrangement' or other agreement. (Use group code PR).,Other Insurance,Coverage/Workers Comp
CO203,Discontinued or reduced service,Contractual/Payment,Contractual/Payment/Other
CO204,This service/equipment/drug is not covered,Coverage/Eligibility,Coverage/Eligibility
CO208,Missing documentation.,Documentation/Attachments,Documentation/Attachments
CO21,This injury/illness is the liability of the no-fault carrier,Other Insurance,COB/No Fault
CO210,Payment adjusted based on review organization findings,Medical Necessity/Review,Medical Necessity/Review/Other
CO216,New Patient qualifications were not met,Coverage/Eligibility,Coverage/Eligibility/Other
CO22,This care may be covered by another payer,Other Insurance,Other Insurance/Other
CO222,Exceeds the contracted number of hours/days/units,Benefit Limits,Benefit Limits
CO223,"Adjustment code for mandated federal, state or local law/regulation that is not already covered by another code and is mandated before a new code can be created.",Contractual/Payment,Contractual/Payment/Other
CO224,Patient refund amount,Refund/Recovery,Refund/Recovery
CO226,Incomplete/invalid patient medical record for this service,Documentation/Attachments,Documentation/Attachments
CO227,Information requested from patient/insured/responsible party was not provided or was insufficient/incomplete,Documentation/Attachments,Documentation/Attachments/Other
CO23,The impact of prior payer(s) adjudication,COB/Other Payer,COB/Other Payer
CO234,This procedure is not paid separately,Bundled/Inclusive,Bundled/Inclusive
CO236,This procedure or procedure-modifier combination is not compatible with another procedure or modifier billed on the same date of service,Provider Billing Error,Provider Billing Error/Other
CO24,Charges are covered under a capitation agreement/managed care plan,Contractual/Payment,Contractual/UCR
CO242,Services not provided by network/primary care provider,Network/Provider Contract,Network/Provider Contract
CO243,ANSI message missing for Easy Print.,Network/Provider Contract,Network/Provider Contract
CO246,This non-payable code is for required reporting only,Coverage/Eligibility,Coverage/Eligibility/Other
CO25,Payment denied. Patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
CO250,The attachment/other documentation that was received was the incorrect attachment/document.,Documentation/Attachments,Documentation/Attachments
CO251,Attachment/other documentation did not contain required content,Documentation/Attachments,Documentation/Attachments
CO252,An attachment/other documentation is required,Documentation/Attachments,Documentation/Attachments
CO253,Sequestration - reduction in federal payment,Regulatory/Sequestration,Regulatory/Sequestration
CO256,Service not payable per managed care contract,Contractual/Payment,Contractual/UCR
CO26,Expenses incurred prior to coverage,Coverage/Eligibility,Coverage/Eligibility
CO27,Expenses incurred after coverage terminated,Coverage/Eligibility,Coverage/Eligibility
CO273,Coverage/program guidelines available on request,Coverage/Eligibility,Coverage/Eligibility/Other
CO276,Services denied by prior payer(s) not included in this payment,COB/Other Payer,COB/Other Payer
CO28,Coverage terminated before service date,Coverage/Eligibility,Coverage/Eligibility
CO284,ESRD network approval not obtained,Network/Provider Contract,Network/Provider Contract
CO29,The time limit for filing has expired,Appeals/Timely Filing,Appeals/Timely Filing
CO3,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
CO30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.",Contractual/Payment,Contractual/Payment/Other
CO301,Submit these services to the patient's behavioral health plan; benefits not available under this plan,Program/Demo Adjustment,Program/Demo
CO31,Patient cannot be identified as our insured,Coverage/Eligibility,Coverage/Eligibility
CO32,Our records indicate that this dependent is not an eligible dependent as defined.,Documentation/Attachments,Documentation/Attachments
CO33,Claim denied. Insured has no dependent coverage.,Coverage/Eligibility,Coverage/Eligibility
CO34,Insured has no coverage for newborns,Coverage/Eligibility,Coverage/Eligibility
CO35,Lifetime benefit maximum has been reached.,Benefit Limits,Benefit Limits
CO36,Balance does not exceed co-payment amount.,Patient Responsibility,Patient Responsibility/Copay
CO37,Balance does not exceed deductible.,Patient Responsibility,Patient Responsibility/Deductible
CO38,Services not provided or authorized by designated (network/primary care) providers.,Provider Billing Error,Provider Billing Error/Other
CO39,Services denied at the time authorization/pre-certification was requested,Authorization/Precert,Authorization/Precert
CO4,The procedure code is inconsistent with the modifier used,Provider Billing Error,Provider Billing Error/Modifier
CO40,Charges do not meet qualifications for emergent/urgent care,Coverage/Eligibility,Coverage/Eligibility
CO41,Obsolete procedure code,Provider Billing Error,Provider Billing Error/Coding
CO42,Procedure code was not valid on date of service,Provider Billing Error,Provider Billing Error/Coding
CO43,Inappropriate use of procedure code,Provider Billing Error,Provider Billing Error/Coding
CO44,Prompt-pay discount,Contractual/Payment,Contractual/Payment/Other
CO45,Charges exceed your contracted/legislated fee arrangement,Contractual/Payment,Contractual/Payment/Other
CO46,This service/procedure requires a referral,Authorization/Precert,Authorization/Precert
CO47,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.",Provider Billing Error,Provider Billing Error/Diagnosis
CO48,This (these) procedure(s) is (are) not covered.,Other Insurance,Coverage/Workers Comp
CO49,This is a non-covered service,Coverage/Eligibility,Coverage/Eligibility
CO5,The procedure code/bill type is inconsistent with the place of service,Provider Billing Error,Provider Billing Error/POS
CO50,These are non-covered services,Coverage/Eligibility,Coverage/Eligibility
CO51,These are non-covered services because this is a pre-existing condition,Bundled/Inclusive,Bundled/Inclusive
CO52,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.,Network/Provider Contract,Network/Provider Credential
CO53,Services by an immediate relative or a member of the same household are not covered.,Coverage/Eligibility,Coverage/Eligibility
CO54,Multiple physicians/assistants are not covered,Coverage/Eligibility,Coverage/Eligibility
CO55,Procedure/treatment is deemed experimental/investigational,Medical Necessity/Review,Medical Necessity/Review
CO56,"Procedure/treatment has not been deemed ""proven to be effective""",Medical Necessity/Review,Medical Necessity/Review
CO57,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply.",Coverage/Eligibility,Coverage/Eligibility
CO58,Treatment was deemed by the payer to have been rendered in an inappropriate setting,Coverage/Eligibility,Coverage/Eligibility
CO59,Processed based on multiple or concurrent procedure rules,Bundled/Inclusive,Bundled/Inclusive
CO6,The procedure/revenue code is inconsistent with the patient's age.,Provider Billing Error,Provider Billing Error/Coding
CO60,Charges for outpatient services with this proximity to inpatient services are not covered.,Bundled/Inclusive,Bundled/Inclusive
CO61,Penalty for failure to obtain second surgical opinion,Coverage/Eligibility,Coverage/Eligibility
CO62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.",Authorization/Precert,Authorization/Precert
CO63,Correction to a prior claim.,Correction,Other/Unspecified
CO64,Denial reversed per Medical Review.,Correction,Other/Unspecified
CO65,Procedure code was incorrect. This payment reflects the correct code.,Provider Billing Error,Provider Billing Error/Coding
CO66,Blood Deductible.,Patient Responsibility,Patient Responsibility/Deductible
CO67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)",Provider Billing Error,Provider Billing Error/Coding
CO68,DRG weight. (Handled in CLP12),DRG/Outlier,DRG/Outlier
CO69,Day outlier amount.,DRG/Outlier,DRG/Outlier
CO7,The procedure/revenue code is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Coding
CO70,Cost outlier - Adjustment to compensate for additional costs,DRG/Outlier,DRG/Outlier
CO71,Primary Payer amount.,COB/Other Payer,COB/Other Payer
CO72,"Coinsurance day. (Handled in QTY, QTY01=CD)",Patient Responsibility,Patient Responsibility/Coinsurance
CO73,Administrative days.,DRG/Outlier,DRG/Outlier
CO74,Indirect Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
CO75,Direct Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
CO76,Disproportionate Share Adjustment.,DRG/Outlier,DRG/Outlier
CO77,"Covered days. (Handled in QTY, QTY01=CA)",DRG/Outlier,DRG/Outlier
CO78,Non-Covered days/Room charge adjustment.,Coverage/Eligibility,Coverage/Eligibility
CO79,Cost Report days. (Handled in MIA15),DRG/Outlier,DRG/Outlier
CO8,The procedure code is inconsistent with the provider type/specialty,Provider Billing Error,Provider Billing Error/Coding
CO80,"Outlier days. (Handled in QTY, QTY01=OU)",DRG/Outlier,DRG/Outlier
CO81,Discharges.,DRG/Outlier,DRG/Outlier
CO82,PIP days.,DRG/Outlier,DRG/Outlier
CO83,Total visits.,DRG/Outlier,DRG/Outlier
CO84,Capital Adjustment. (Handled in MIA),DRG/Outlier,DRG/Outlier
CO85,Interest amount.,Contractual/Payment,Contractual/Payment/Other
CO86,Statutory Adjustment.,Contractual/Payment,Contractual/Payment/Other
CO87,Transfer amount.,Contractual/Payment,Contractual/Payment/Other
CO88,Adjustment amount represents collection against receivable created in prior overpayment.,Refund/Recovery,Refund/Recovery
CO89,Professional fees removed from charges.,COB/Other Payer,COB/Other Payer
CO9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
CO90,Worker's Compensation adjustment,Other Insurance,Coverage/Workers Comp
CO91,Denial reversed per Medical Review,Medical Necessity/Review,Medical Necessity/Review
CO92,Claim Paid in full.,Other Insurance,Coverage/Workers Comp
CO93,No Claim level Adjustments.,Coverage/Eligibility,Coverage/Eligibility
CO94,Processed in accordance with Demonstration Project,Program/Demo Adjustment,Program/Demo
CO95,Plan procedures not followed,Provider Billing Error,Provider Billing Error/Other
